
Begin Step 0, Time: 0.01, Redshift: 99, Nf = 0134217728, Systemstep: 0, Dloga: 0
Begin Step 129, Time: 0.0960333, Redshift: 9.41305, Nf = 0000000041, Systemstep: 0.000430915, Dloga: 0.00449724

Begin Step 130, Time: 0.0964662, Redshift: 9.36633, Nf = 0132669992, Systemstep: 0.000432857, Dloga: 0.00449724

Begin Step 131, Time: 0.096901, Redshift: 9.31981, Nf = 0000000077, Systemstep: 0.000434808, Dloga: 0.00449724

Begin Step 132, Time: 0.0973377, Redshift: 9.27351, Nf = 0000000753, Systemstep: 0.000436768, Dloga: 0.00449724

Begin Step 133, Time: 0.0977765, Redshift: 9.22741, Nf = 0000000093, Systemstep: 0.000438737, Dloga: 0.00449724

Begin Step 134, Time: 0.0982172, Redshift: 9.18152, Nf = 0077460114, Systemstep: 0.000440714, Dloga: 0.00449724

Begin Step 135, Time: 0.0986599, Redshift: 9.13583, Nf = 0000000099, Systemstep: 0.000442701, Dloga: 0.00449724

Begin Step 136, Time: 0.0991046, Redshift: 9.09035, Nf = 0000000944, Systemstep: 0.000444696, Dloga: 0.00449724

Begin Step 137, Time: 0.0995513, Redshift: 9.04507, Nf = 0000000116, Systemstep: 0.0004467, Dloga: 0.00449724

Begin Step 138, Time: 0.1, Redshift: 9, Nf = 0134217728, Systemstep: 0.000448714, Dloga: 0.00449724

Begin Step 139, Time: 0.100451, Redshift: 8.95513, Nf = 0000000140, Systemstep: 0.000450736, Dloga: 0.00449724

Begin Step 140, Time: 0.100904, Redshift: 8.91046, Nf = 0000003160, Systemstep: 0.000452768, Dloga: 0.00449724

Begin Step 141, Time: 0.101358, Redshift: 8.86599, Nf = 0000000177, Systemstep: 0.000454809, Dloga: 0.00449724

Begin Step 142, Time: 0.101586, Redshift: 8.84383, Nf = 0000000002, Systemstep: 0.000228173, Dloga: 0.00224862

Begin Step 143, Time: 0.101815, Redshift: 8.82172, Nf = 0084478071, Systemstep: 0.000228686, Dloga: 0.00224862

Begin Step 144, Time: 0.102044, Redshift: 8.79966, Nf = 0000000002, Systemstep: 0.000229201, Dloga: 0.00224862

Begin Step 145, Time: 0.102274, Redshift: 8.77765, Nf = 0000000212, Systemstep: 0.000229717, Dloga: 0.00224862

